CENTLAT,CENTLON,NAME
33.8874214,-117.2578998,March Air Reserve Base
34.4592614,-116.1380779,Marine Corps Air Ground Combat Center Twentynine Palms
32.5113132,-80.721783,Marine Corps Air Station Beaufort
32.4761539,-80.7144628,Marine Corps Air Station Beaufort
33.301157,-117.3533462,Marine Corps Air Station Camp Pendleton
34.6928855,-77.0286621,Marine Corps Air Station Cherry Point (Bogue Field M C A L F)
35.023145,-77.2587382,Marine Corps Air Station Cherry Point (Outlying Field Oak Grove)
34.9122237,-76.8849986,Marine Corps Air Station Cherry Pt
32.8768121,-117.086041,Marine Corps Air Station Miramar
32.6453153,-114.6023184,Marine Corps Air Station Yuma
34.6308445,-77.4078901,Marine Corps Base Camp Lejeune
33.3620449,-117.4239414,Marine Corps Base Camp Pendleton
21.445354,-157.7510787,Marine Corps Base Hawaii Kaneohe
38.5520661,-77.4569004,Marine Corps Base Quantico
31.5510906,-84.0548297,Marine Corps Logistics Base Albany
34.8599371,-116.9431942,Marine Corps Logistics Base Barstow Nebo Annex
34.8903858,-116.8700201,Marine Corps Logistics Base Barstow Yermo Annex
38.3743509,-119.5423109,Marine Corps Mountain Warfare Training Center Bridgeport
32.3384322,-80.6959599,Marine Corps Recruit Depot Parris Island
32.7385775,-117.2010732,Marine Corps Recruit Depot San Diego
30.4012632,-81.5251205,Marine Corps Support Facility Blount Island
39.3318249,-76.41518,Martin State Arprt
48.1237807,-122.1711017,Marysville
32.3825279,-86.3564565,Maxwell AFB
32.4069311,-86.246279,Maxwell Air Force Base (Gunter Annex)
34.8221726,-95.9397722,McAlester Army Ammunition Plnt
21.383556,-157.9714468,McB Hawaii Pearl City Annex
21.3176328,-157.9877748,McB Hawaii Puuloa Training Faclty
38.6629366,-121.403087,McClellan AFB
37.625137,-97.2602462,McConnell AFB
33.9228988,-80.8005965,McEntire Joint National Guard Base
35.8114759,-84.0037194,McGhee Tyson Arprt
40.0289636,-74.5815622,McGuire AFB
43.0982111,-76.1232557,McRc Syracuse
34.2844185,-103.7803569,Melrose Air Force Range
38.4983561,-77.3717846,Midway Research Ctr
35.8756915,-88.7053873,Milan Army Ammunition Plnt
38.0448839,-121.9739372,Military Ocean Terminal Concord
38.0423987,-122.020295,Military Ocean Terminal Concord
34.0218225,-77.9756713,Military Ocean Terminal Sunny Pt
41.7001637,-70.5450366,Military Training Area Camp Edwards
44.8876833,-93.2060289,Minneapolis-St Paul International Airport Air Reserve Sta
48.4209007,-101.3380081,Minot AFB
32.3047406,-86.4016556,Montgomery Regional Airport Army National Guard
30.968134,-83.1864789,Moody AFB
43.0489368,-115.8658767,Mountain Home AFB
36.2010864,-78.8005287,Mta Camp Butner
39.051418,-85.5245845,Muscatatuck Urban Training Ctr
28.7456893,-97.7361169,Nalf Goliad
39.5284002,-118.0140691,Nas Fallon Ew Range Faclty
24.5788326,-81.7736741,Nas Key West Dredgers Key-Sigsbee
24.5802294,-81.7964229,Nas Key West Fleming Key Magazine
24.5609072,-81.7928311,Nas Key West Peary Court
24.5468724,-81.8042067,Nas Key West Truman Annex
24.5643792,-81.7912447,Nas Key West Trumbo Point Annex
36.8439551,-76.0843061,Nas Oceana Nexcom Headquarters
44.9910277,-70.4532343,Nas Portsmouth Redington Township
44.9670843,-70.4212862,Nas Portsmouth Redington Township
30.7213308,-87.0034545,Nas Whiting Field Milton
30.6875223,-87.0322436,Nas Whiting Field Milton
30.7134301,-87.0202524,Nas Whiting Field Milton
30.7423966,-87.015612,Nas Whiting Field Milton
36.1109346,-86.6748733,Nashville Iap
33.7221311,-84.3590009,National Guard Atlanta-Confederate Avenue
43.6687493,-70.6637292,National Guard Hollis Plains Training Site
35.5697487,-106.0811943,National Guard Santa Fe-Oñate Complex Training Site
39.0019076,-77.090402,National Naval Medical Center Bethesda
40.0273319,-74.375279,Naval Air Engineering Station Lakehurst
32.8252316,-115.6680724,Naval Air Facility el Centro
43.9076923,-69.9380487,Naval Air Station Brunswick
43.9090872,-69.9381498,Naval Air Station Brunswick
43.9083031,-69.942798,Naval Air Station Brunswick
44.6509883,-67.2849081,Naval Air Station Brunswick Naval Computer and Telecommunications Cutler V L F Area
27.6925703,-97.2792814,Naval Air Station Corpus Christi
27.7014888,-97.4364615,Naval Air Station Corpus Christi (Alf Cabaniss)
27.6326577,-97.3129782,Naval Air Station Corpus Christi (Alf Waldron)
39.42219,-118.7043204,Naval Air Station Fallon
39.339449,-118.8806288,Naval Air Station Fallon (Target B-16)
39.2059881,-118.232531,Naval Air Station Fallon (Target B-17)
39.171088,-118.6368758,Naval Air Station Fallon (Target B-19)
39.8842623,-118.3627749,Naval Air Station Fallon (Target B-20)
30.221577,-81.688585,Naval Air Station Jacksonville
30.3552884,-81.8697612,Naval Air Station Jacksonville (Outlying Field Whitehouse)
29.8314616,-90.0210337,Naval Air Station Joint Reserve Base New Orleans
24.5865277,-81.6687271,Naval Air Station Key West
27.5000255,-97.8127735,Naval Air Station Kingsville
36.3173211,-119.9329219,Naval Air Station Lemoore
32.5530337,-88.5693218,Naval Air Station Meridian
32.7002696,-117.2063377,Naval Air Station North Island
33.3401763,-116.6814003,Naval Air Station North Island (Cleveland National Forest Survival Training)
36.8137587,-76.0309237,Naval Air Station Oceana
36.7881198,-75.9654758,Naval Air Station Oceana (Dam Neck Annex)
38.2818793,-76.4200783,Naval Air Station Patuxent River
30.3525505,-87.3062773,Naval Air Station Pensacola
30.4035221,-87.2906237,Naval Air Station Pensacola (Corry Station)
30.383761,-87.4140627,Naval Air Station Pensacola (Outlying Field Bronson)
30.4704098,-87.3414455,Naval Air Station Pensacola (Outlying Field Saufley)
48.3385547,-122.6616115,Naval Air Station Whidbey Island
48.2951174,-122.6006236,Naval Air Station Whidbey Island Seaplane Base
32.7693689,-97.4338375,Naval Air Station and Joint Reserve Base Fort Worth
35.7507096,-117.4121983,Naval Air Warfare Center China Lake
36.9166544,-76.1634519,Naval Amphibious Base Little Creek
13.4278587,144.6518321,Naval Base Guam
13.4026249,144.6822284,Naval Base Guam Apra Heights
47.7227806,-122.71455,Naval Base Kitsap-Bremerton
47.5569186,-122.6477325,Naval Base Kitsap-Bremerton
32.6962555,-117.2458314,Naval Base Point Loma
32.7487164,-117.1971057,Naval Base Point Loma (Old Town Campus)
32.7136722,-117.1720388,Naval Base San Diego (Broadway Complex)
32.8049651,-117.0938921,Naval Base San Diego Mission Gorge
34.1629131,-119.2083886,Naval Base Ventura County (Construction Batallion Center Port Hueneme)
34.1126467,-119.1103834,Naval Base Ventura County (Naval Air Station Point Mugu)
45.7204968,-119.6873072,Naval Bombing Range Boardman
13.476897,144.8290839,Naval Computer and Telecommunications Station Barrigada
